route,model,target_variant,macro_mean_mae,macro_median_mae,macro_mean_rmse,macro_median_rmse,macro_mean_r2,macro_median_r2,macro_mean_median_ae,macro_median_median_ae,worst_site_mae,worst_site_rmse,worst_site_r2,n_folds,ci95_low_mae,ci95_high_mae
EXTENDED_FOLD_IMPUTED,catboost,raw,1.9988565619663312,1.4981486663459918,4.18363221524228,2.7156204449818,0.5411304240001593,0.5529207049127107,0.9010808116655409,0.7416968391804405,3.7280095580468324,9.44667040400422,0.3740058619042803,6,1.2196896023023438,2.8779216959316596
CORE_CC,lightgbm,log1p,2.0128557705259382,1.5671587985284314,4.422227334080802,2.8816930753540526,0.5018474064735828,0.5183057369246336,0.7572640804034824,0.6344521986328095,3.8074574323942945,9.971146488452892,0.3025662919673161,6,1.1849521131773226,2.941687929325387
EXTENDED_FOLD_IMPUTED,extra_trees,raw,2.0290597433757607,1.4938408820377655,4.143173897913406,2.7877956567017868,0.5524010151609999,0.5422273047489901,0.9355616936392671,0.7179006827790564,3.9056842161320002,9.332127725343849,0.38909442450066234,6,1.160915664052062,3.005909280217637
EXTENDED_FOLD_IMPUTED,ridge,raw,2.0402592033591125,1.5492642396370382,4.199310122168044,2.8464803560577447,0.5254482414379038,0.5198439371626546,1.1125824311318075,0.8804586771624239,3.781427539937937,9.561724600750345,0.3586646152182864,6,1.2089954190787073,2.9586730556454253
EXTENDED_FOLD_IMPUTED,random_forest,raw,2.044496250623149,1.6267437258969137,4.2973036596021075,2.9839544962165414,0.5164904442309893,0.5093722935615068,0.8637477417128426,0.7050391296725225,3.870059007090511,9.79217353251347,0.32737819381647526,6,1.2331683713315194,2.980650667378372
CORE_CC,random_forest,raw,2.0461351690586382,1.5882395073963753,4.291064709823264,2.859689086522324,0.5192296043335077,0.5296203346519841,0.8790241062852072,0.7328048124801108,3.85582685479357,9.824865607121042,0.32287947674998685,6,1.2275125209117488,2.9748001323764637
CORE_CC,catboost,raw,2.0603270373475175,1.5552500637046847,4.32088962824517,2.739679877577709,0.5168675246860833,0.5236937447283074,0.9361027168467423,0.7934132896798601,3.814583365422206,9.89569997305448,0.31308060401180327,6,1.2563742631997246,2.9646584075816187
CORE_CC,xgboost,raw,2.12284790981945,1.599071021613121,4.372294231993223,2.80832951560331,0.4860242666003443,0.4282653480799123,0.9688735905075072,0.8554590845870972,3.7822623880832613,9.440459821505547,0.34929079775876337,6,1.3183644543975297,2.994987284175576
EXTENDED_FOLD_IMPUTED,hist_gradient_boosting,raw,2.1682428146540516,1.6010281323251103,4.350256224610998,2.8461970959154703,0.5037171493752178,0.5146876504963251,0.9796175175302735,0.7534758146787306,4.120734962920721,9.817786585040839,0.32385488434772025,6,1.254512055304426,3.1833443696679145
CORE_CC,hist_gradient_boosting,raw,2.1685683468982835,1.654402147973872,4.425929449723983,2.900551608410667,0.4894382000401422,0.4884199955889909,0.9470299515731799,0.7967909720060062,4.05413435147077,9.945569553426758,0.3061396700735409,6,1.297063007086802,3.1439575766474492
EXTENDED_FOLD_IMPUTED,xgboost,raw,2.189711874387148,1.6768004745563048,4.686697875811613,3.5987156638945272,0.39875038459548867,0.38639036087764356,0.9344772386067709,0.6934791509857178,3.995100766051713,9.519063427010272,0.19916025045578933,6,1.3013597184993264,3.1519220553126353
EXTENDED_FOLD_IMPUTED,lightgbm,raw,2.245393626478456,1.669568027671846,4.603197130029042,3.190727285576849,0.42691350188893323,0.4432245374173143,1.0320001357021986,0.7560490429002156,4.175664925679748,9.957367600266581,0.30449249398895795,6,1.3332884770889615,3.252640237568728
CORE_CC,lightgbm,raw,2.2819390298890236,1.7754013826641764,4.589645319732764,3.1342876765777756,0.44046888596899963,0.42933052920555537,1.0463107605064026,0.8780234045552735,4.222552137642269,10.127854234928073,0.28047212297179,6,1.3807773828998737,3.281301436997207
EXTENDED_FOLD_IMPUTED,ridge,log1p,4.524254379275132,3.3907202146995434,36.15875588855751,10.673044560571427,-73.68557808602365,-0.3752915778224204,0.9777768124415754,0.8975842615502523,13.05927373339049,146.40814437897674,-260.00317562054,6,1.9431450703423907,8.24647817351244
EXTENDED_FOLD_IMPUTED,elastic_net,log1p,4.623761320901279,3.6303088564277526,37.68283211135215,10.403023309154998,-86.56969628714023,-0.31123142463351255,0.9616357735941775,0.887644652849437,13.225924132254166,148.33743369583397,-266.9272221333988,6,2.0287453518799494,8.404035609191448
CORE_CC,elastic_net,log1p,5.061723195488402,3.803332335822656,42.73311422144071,11.504058427930785,-121.34273460949032,-0.5944455587532891,0.9844258459357745,0.919624327438415,14.433450407215865,162.16461859075312,-408.36893518395647,6,2.1237757273827107,9.222166002061623
CORE_CC,ridge,log1p,5.0862480001926205,3.8108952363340753,43.08329532840952,11.578346808967208,-123.05902105197858,-0.6145840534316274,0.977631390420525,0.9069825818599535,14.546923638494743,163.8138372342484,-412.0792294436349,6,2.1257464187564286,9.284167370650895
